col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
316,227,171,799,971,626,620,974,822,800,935,785
?,216,204,859,881,298,933,424,751,?,21,?
408,44,?,647,?,768,803,?,759,?,76,721
?,761,620,98,812,852,320,436,24,470,271,591
299,228,575,292,547,?,509,975,560,464,?,790
379,112,341,646,98,213,502,86,632,536,581,61
259,759,?,706,417,275,774,501,321,242,726,569
751,108,80,?,533,171,891,40,508,823,144,561
10,446,738,693,331,381,170,536,823,732,620,474
339,738,951,537,?,427,?,6,193,97,?,640
161,652,232,15,282,934,599,377,413,575,676,?
749,183,105,535,785,590,607,990,893,932,?,238
94,630,169,1,918,141,451,484,513,247,387,724
320,325,905,220,969,285,861,453,808,124,446,?
375,790,746,632,943,392,956,11,370,6,?,378
515,622,663,491,713,281,995,32,950,623,?,768
769,?,30,731,754,872,430,?,653,?,558,874
629,341,869,920,928,740,?,681,858,?,845,152
86,46,204,420,765,?,281,121,582,89,?,?
748,326,?,174,223,?,742,316,658,886,774,?
723,286,324,856,905,303,451,502,373,658,850,?
973,395,583,720,662,816,351,516,761,93,216,479
945,675,487,601,578,603,331,645,?,432,345,?
367,479,?,829,608,446,485,259,616,695,42,899
958,520,437,977,?,525,308,989,537,996,?,342
56,317,145,470,?,152,177,83,879,93,158,866
6,353,564,716,484,852,249,99,326,137,335,840
894,404,356,759,28,624,241,349,2,770,80,142
46,446,394,436,319,841,268,432,408,?,?,703
672,823,165,589,703,498,687,?,436,?,827,462
800,344,996,805,435,393,82,346,725,203,630,466
476,125,472,911,379,346,786,556,301,18,305,?
?,757,180,97,149,442,354,706,941,855,841,?
335,151,742,904,525,81,653,433,189,264,761,857
989,197,311,553,250,51,485,958,765,191,?,409
695,6,20,673,274,810,?,?,333,627,730,472
651,555,953,352,355,156,761,546,690,?,873,81
575,86,543,299,463,31,599,361,426,24,291,503
385,135,972,100,217,585,886,797,411,361,429,286
372,681,984,652,549,231,507,294,461,895,?,850
476,700,393,429,421,30,142,516,614,419,333,171
484,975,761,809,566,198,166,741,180,730,?,67
212,471,618,248,997,?,619,894,164,740,8,699
888,482,73,981,734,733,663,?,493,62,408,743
373,950,666,807,150,777,772,740,423,146,815,?
658,470,504,776,303,339,717,282,?,535,227,578
299,734,650,731,302,825,151,880,653,872,?,13
739,892,416,922,353,602,322,388,497,892,180,?
970,231,230,624,809,202,471,654,861,839,537,760
?,642,338,278,548,551,994,458,254,817,707,879
707,?,624,285,195,?,925,?,234,780,?,903
327,75,120,488,556,613,?,441,115,454,200,651
468,258,616,647,520,291,307,545,282,516,?,775
?,915,482,?,443,97,454,704,188,112,219,313
544,702,625,689,161,406,873,679,980,486,808,744
956,957,311,314,363,323,436,781,781,57,363,144
786,839,214,263,?,438,334,757,221,451,?,165
492,608,995,800,705,724,287,601,?,351,379,?
138,76,794,845,155,588,91,336,782,571,299,144
70,717,322,370,457,220,480,371,694,266,766,?
421,826,50,62,525,580,33,895,810,290,?,78
998,116,818,872,945,666,?,701,284,911,?,?
664,465,710,972,22,?,849,9,438,877,691,546
682,842,364,733,157,152,?,547,?,131,?,892
236,207,435,239,223,28,921,127,?,889,758,51
409,790,835,993,936,529,775,964,620,325,216,819
490,115,?,823,985,364,318,445,668,?,660,897
975,748,?,868,?,532,712,?,822,758,381,?
177,532,760,685,901,806,510,414,931,637,?,30
36,148,48,781,538,?,919,430,116,476,877,?
618,1,481,264,673,980,?,505,873,129,133,147
85,735,909,256,190,309,998,605,592,274,135,384
594,?,928,?,203,15,35,244,?,493,353,891
592,220,270,121,672,947,914,350,500,468,685,782
65,437,988,97,469,124,303,356,447,?,888,187
964,524,861,?,752,539,156,544,820,553,970,171
103,651,634,953,156,979,879,51,972,400,996,488
140,?,258,685,946,609,61,144,843,996,974,401
662,606,855,232,283,412,758,689,?,283,12,534
106,613,677,842,761,?,773,350,973,391,?,478
173,709,499,231,91,618,886,891,507,987,59,886
863,283,656,430,258,?,731,249,227,682,800,500
858,622,948,44,605,659,?,990,370,727,432,736
356,451,588,39,833,763,686,222,25,?,943,30
870,368,353,989,457,333,651,813,572,561,759,357
177,878,361,758,990,849,937,655,637,191,208,725
346,918,164,?,195,931,658,775,183,?,?,613
680,270,349,407,395,980,898,301,?,231,42,159
?,230,225,232,832,13,?,627,450,565,197,869
410,910,397,724,373,270,374,960,554,982,330,720
552,99,804,726,322,847,738,719,568,230,589,472
510,67,?,460,59,489,?,?,737,259,?,613
722,137,221,318,691,239,897,417,553,601,7,55
367,794,?,424,751,616,184,31,507,?,969,718
397,391,142,188,364,441,?,267,233,663,348,97
21,63,61,98,987,?,394,820,577,72,194,?
224,100,935,384,913,867,182,834,32,958,982,124
320,111,185,172,510,159,943,466,562,803,120,68
375,984,193,43,939,492,932,773,102,94,329,577
545,776,206,139,203,642,446,?,107,496,314,806
790,57,43,92,602,585,657,50,49,395,988,844
895,521,183,698,933,469,914,?,209,585,?,391
706,?,247,938,182,847,940,46,614,685,945,585
924,210,670,280,11,424,863,837,260,642,43,?
707,653,163,?,550,967,979,953,292,292,?,123
907,974,867,131,37,?,39,?,711,248,380,147
?,957,998,216,45,972,881,944,474,?,?,299
231,200,739,893,864,542,165,988,115,420,18,174
330,147,701,?,60,788,878,?,?,665,488,661
703,461,244,628,652,942,466,369,294,179,398,?
?,825,44,728,873,412,642,965,905,752,976,373
682,741,252,196,971,676,373,562,812,660,?,112
464,853,891,53,346,161,960,185,25,396,177,764
788,412,821,422,252,134,499,956,544,?,100,?
943,55,93,924,762,219,68,932,927,487,180,104
164,156,122,634,576,481,288,926,117,151,100,139
485,175,601,838,452,187,21,970,353,88,71,640
404,114,810,202,329,812,86,819,637,428,374,197
533,25,928,665,314,444,280,778,?,?,893,?
?,390,482,37,277,344,525,803,725,966,268,501
86,941,825,327,918,831,?,77,67,821,90,10
755,892,73,642,993,895,?,?,143,764,?,?
444,239,735,329,198,203,508,191,750,886,454,?
998,148,590,717,?,192,775,167,857,616,656,437
354,?,912,258,?,65,925,635,?,783,?,763
327,939,715,695,583,860,367,492,308,321,763,?
708,477,333,867,413,921,157,769,?,143,391,?
?,811,928,608,?,401,278,23,163,979,285,499
512,971,500,62,?,332,623,241,507,427,980,163
319,440,614,289,383,885,579,?,379,215,705,893
650,996,288,592,716,131,801,995,726,243,256,482
321,98,152,84,474,913,746,461,198,283,373,61
229,336,636,150,980,322,550,831,981,?,?,907
819,255,434,?,268,?,668,?,477,152,392,609
322,281,203,465,601,?,54,566,146,738,27,662
183,857,660,580,41,58,731,66,144,536,731,773
366,423,72,?,427,406,562,834,?,934,233,661
25,864,?,225,973,892,328,775,?,784,25,714
?,?,236,8,83,377,849,218,8,763,273,524
855,623,201,267,667,30,991,525,210,43,110,896
778,766,707,908,311,56,236,906,223,?,850,342
970,738,401,170,492,293,684,?,110,?,52,970
1,391,985,55,662,434,?,428,305,?,146,953
820,124,763,?,954,?,89,467,594,280,720,65
157,408,?,443,423,14,46,983,288,737,822,688
893,707,2,46,856,573,501,733,49,91,468,?
675,744,150,655,179,382,356,152,770,692,369,89
907,947,478,553,169,352,881,149,554,?,818,836
845,84,902,514,533,5,564,169,701,343,334,817
960,673,225,768,770,232,465,711,193,915,517,?
74,314,416,215,99,?,32,213,795,69,?,968
?,612,398,312,604,651,43,33,?,718,817,552
433,636,972,503,?,500,89,?,252,733,97,768
619,36,566,876,629,11,608,?,519,515,282,398
549,50,121,503,463,?,616,113,992,204,?,795
670,792,310,349,598,235,828,?,?,759,620,449
814,22,920,651,429,286,719,?,899,367,520,929
141,166,192,457,560,270,995,190,119,238,?,719
381,?,538,600,311,141,250,821,680,491,177,649
880,150,879,882,490,75,253,424,371,848,62,44
800,198,954,461,888,930,630,522,662,?,614,510
444,428,87,796,?,285,476,940,857,335,876,524
776,705,574,620,805,481,709,351,632,258,957,296
234,928,246,357,197,531,286,435,193,912,822,303
703,556,210,596,121,898,253,809,346,664,384,496
955,551,261,259,386,?,194,261,466,564,284,431
53,644,610,448,123,126,821,43,?,549,?,761
?,677,11,640,292,237,619,274,363,?,599,?
990,209,18,94,629,277,?,866,248,170,940,?
688,594,870,219,?,730,154,394,769,555,211,504
897,?,520,859,211,?,858,387,414,322,281,298
389,481,703,250,67,?,586,?,447,932,448,235
934,491,225,661,544,?,391,779,725,95,?,82
262,301,447,938,420,?,?,54,802,977,759,562
434,?,985,?,792,837,?,474,378,157,192,9
176,526,513,59,?,160,248,855,802,252,?,?
621,69,?,472,502,405,744,538,663,363,592,768
258,418,879,?,76,377,119,423,307,323,?,446
769,886,777,665,406,17,926,499,730,904,134,53
150,945,?,477,909,?,302,525,42,890,70,199
519,104,729,?,224,?,414,628,637,?,530,905
500,?,799,767,69,158,387,732,740,?,937,632
404,46,977,429,428,905,561,939,68,39,495,225
170,506,686,921,746,872,980,572,923,339,335,684
734,699,609,252,23,279,522,997,?,606,884,?
229,225,255,157,715,372,410,340,249,493,?,322
59,835,425,32,380,242,504,406,416,241,626,?
335,874,85,?,554,?,994,715,?,?,299,376
941,366,?,915,?,?,41,842,809,401,?,608
857,852,?,621,162,717,509,706,403,681,485,368
314,723,429,241,868,335,473,?,61,?,?,?
789,328,736,420,660,688,602,727,485,?,197,?
874,399,510,990,727,461,335,725,323,770,717,891
978,96,343,906,526,981,208,?,10,729,630,?
791,514,152,675,762,544,542,628,202,973,41,737
298,774,292,418,989,486,428,937,586,323,229,308
?,235,594,?,?,975,245,?,78,281,922,?
890,814,807,615,509,219,566,119,948,575,182,?
440,663,?,133,749,674,264,928,747,100,296,556
655,160,874,977,798,777,989,784,125,856,477,493
285,365,362,826,968,19,636,813,65,?,835,199
947,?,874,775,827,832,172,653,601,69,763,673
800,790,330,204,38,4,18,957,347,?,323,?
99,575,608,507,565,349,?,856,252,842,40,57
681,141,836,157,871,77,?,316,?,292,?,141
618,103,98,787,910,591,?,51,862,773,?,730
592,560,566,103,771,320,?,342,?,97,?,913
481,416,271,963,814,343,665,718,646,482,?,756
885,245,6,897,814,863,561,441,683,845,?,998
933,276,877,724,664,2,416,765,132,834,123,?
42,256,?,405,224,116,668,114,15,350,?,664
890,421,532,455,879,212,193,879,249,972,51,444
63,?,470,209,903,291,437,485,?,466,660,206
283,987,165,449,18,661,225,565,?,275,535,102
675,318,?,981,248,259,776,954,629,947,188,?
?,787,568,?,199,751,783,713,601,412,984,578
390,201,?,345,778,342,442,17,106,141,?,479
757,698,562,139,220,?,12,?,288,912,?,946
122,257,550,961,46,284,674,?,863,222,909,91
235,?,714,366,570,28,643,684,177,240,751,848
136,63,232,33,935,376,902,855,158,854,486,176
